unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1514764740,31-12-2017 23:59,BTC/USD,13913.28,13913.28,13867.18,13880,0.59174759,8213.456549
1514764680,31-12-2017 23:58,BTC/USD,13913.26,13953.83,13884.69,13953.77,1.39878396,19518.30966
1514764620,31-12-2017 23:57,BTC/USD,13908.73,13913.26,13874.99,13913.26,0.77501206,10782.94429
1514764560,31-12-2017 23:56,BTC/USD,13827,13908.69,13827,13859.58,0.66645895,9236.841134
1514764500,31-12-2017 23:55,BTC/USD,13825.05,13825.05,13825.05,13825.05,0.0655014,905.5601301
1514764440,31-12-2017 23:54,BTC/USD,13884.14,13884.14,13823.88,13854.28,4.8107019,66648.81112
1514764380,31-12-2017 23:53,BTC/USD,13854.52,13898.7,13840.85,13884.15,10.46953115,145360.5409
1514764320,31-12-2017 23:52,BTC/USD,13885,13898.32,13823.19,13883.13,7.15371462,99315.95005
1514764260,31-12-2017 23:51,BTC/USD,13892.57,13927.21,13885,13885,0.59592826,8274.46389
1514764200,31-12-2017 23:50,BTC/USD,13927.34,13927.34,13892.57,13927.28,0.5654943,7875.797455
1514764140,31-12-2017 23:49,BTC/USD,13942.3,13942.3,13927.34,13927.34,3.16353009,44059.55916
1514764080,31-12-2017 23:48,BTC/USD,13941.44,13957.01,13941.4,13942.35,6.0544098,84412.70048
1514764020,31-12-2017 23:47,BTC/USD,13941.61,13941.61,13941.61,13941.61,0.00086921,12.11818683
1514763960,31-12-2017 23:46,BTC/USD,13929.96,13950,13889.01,13889.01,1.76423415,24503.46575
1514763900,31-12-2017 23:45,BTC/USD,13888.01,13929.96,13888.01,13929.96,0.37970996,5289.344554
1514763840,31-12-2017 23:44,BTC/USD,13930,13959.41,13888.03,13890.95,7.71544716,107174.8907
1514763780,31-12-2017 23:43,BTC/USD,13930,13959.65,13930,13930,6.24435793,86983.90596
1514763720,31-12-2017 23:42,BTC/USD,13957.74,13973.69,13930,13959.87,4.46669676,62354.5061
